xiān|first
tèbié|special
òu|particle of surprise or consent
kù|cool
xiǎochī|snacks
jiàqián|price
tān|vendor / stall
mǎi|to buy
dài|to take / to carry / to bring
dī|low
zài|again / another / then / once more
guì|expensive
rènao|lively / bustling
búkèqi|"You're welcome."
duì|correct / right
duìle|by the way
带路 - dàilù|to lead the way
piányi|cheap
yíyàng|the same
hǎibiān|the seaside / the beach / the coast
gāo|tall / high
ǎi|short / low
chūmíng|well-known
duìbùqǐ|I'm sorry / Excuse me
bùhǎoyìsi|to be embarrassed | excuse me/ "How embarrassing."
méiguānxi|"Don't worry about it." / "It doesn't matter."
duōxiè|many thanks / "Thanks a lot."
gǎnxiè|to be grateful
búyòng xiè|"No need for thanks." / "You're welcome."
lǎojiē|Old Street
jiārén|family
shēng|to give birth to
dàxué|college / university
bǎobao|baby
bìyè|to graduate
shuāngbāotāi|twins
fùmǔ|parents
gōngxǐ|"Congratulations"
gōngzuò|job
wánměi|perfect
juédìng|to decide
duó dà|"How large?" / "How old?"
jiàoshòu|professor
kèchéng|class / course
jiāoshū|to teach
niánjì|age
cōngming|smart / intelligent
bàba|dad
yīshēng|doctor
māma|mom
jiātíng zhǔfù|housewife
jiā|house / family
fùqīn|father
mǔqīn|mother
gēge|older brother
mèimei|younger sister
jiěmèi|sisters
xiōngdì|brothers
érzi|son
nǚér|daughter
háizi|child
xiǎopéngyǒu|child
āyí|aunt
yéye|paternal grandfather
nǎinai|paternal grandmother
wàigōng|maternal grandfather
wàipó|maternal grandmother
shūshu|uncle
gōngchéngshī|engineer
kuàijishī|accountant
fānyìyuán|translator
zuòjiā|author
biānjí rényuán|editor
jīnglǐ|manager
zhùlǐ|assistant
wàishēng|nephew
wàishēngnǚ|niece
jiùjiu|uncle
模特 - mótè|model
放 - fàng|to put
rìcháng|daily / everyday
yèshì|night market
yòngpǐn|goods / products
diànhuà|telephone
xǐfàjīng|shampoo
hàomǎ|number
cùxiāo|promotion
shǒujī|cell phone
huásuàn|to be worthwhile
yìxiē|some / a few / a little
páizi|brand
yīfu|clothes / clothing
chābùduō|about the same / almost
cā|wipe /clean
yáshuā|tooth brush
擦手巾 - cāshǒujīn|towel
búcuò|not bad / decent
tèjià|special price
féizào|soap
xiāngzào|perfumed soap
guāhúdāo|razor
miánhuābàng|cotton buds / Q-tips
wèishēngzhǐ|tissue paper / toilet paper
tǐxiānggāo / tǐxiāngjì|deodorant
yáxiàn|dental floss
xǐmiànnǎi|facial cleanser
mùyùrǔ|body wash
rǔyè|lotion
yào|medicine
gǎnmàoyào|cold and flu medicine
fángshàirǔ|sunscreen
创可贴 - chuàngkětiē|bandage
wéitāmìng|vitamin
zhǐtòngyào|pain-killer
huàzhuāngpǐn|cosmetics
毛巾 - máojīn|towel
洗衣液 - xǐyīyè|laundry detergent
wéi|hello (on the telephone)
wánjù|toys
yuē|to make an appointment
lián|even / including
pèngmiàn|to meet / to bump into
shì|to try
duìmiàn|in front of / across from
jiàn|measure word for clothes
fāngbian|convenient
xiǎo|small
jiàn|to see / to meet
shēncái|body shape
tīng|to listen / to hear
dà|big / large
dānxīn|to worry / to be anxious
yuánlái rúcǐ|"So that explains it."/ I see.
cuò|wrong / incorrect
yánsè|color
xiézi|shoes
shìhé|suitable
xǐhuān|to like
lánsè|blue
lǜsè|green
huángsè|yellow
hóngsè|red
báisě|white
hēisè|black
huīsè|grey
kāfēisè|brown
fěnhóngsè|pink
júsè|orange
zǐsè|purple
xiěpīn|shopping
wāzi|socks
duǎnkù|shorts
chènshān|shirt
wàitào|jacket
qúnzi|skirt
liányīqún|dress
máoyī|sweater
pídài|belt
shǒutào|gloves
wéjīn|scarf
màozi|hat
nèiyī/nèikù|bra/underwear
liángxié|sandals
gāogēnxié|high heels
niúzǎikù|blue jeans
情趣用品 - qíngqù yòngpǐn|adult products
试衣间 - shìyījiān|fitting room
xiànzài|right now / at the moment
程度 - chéngdù|level
cèyàn|to test / test
内容 - nèiróng|content
告诉 - gàosu|tell| let know
包括 - bāokuò|to contain| to include
继续 - jìxù|continue
jiànyì|to suggest / to recommend
读 - dú|to read
学费 - xuéfèi|tuition fee
写 - xiě|to write
wèntí|problem / question
听力 - tīnglì|hearing ability / listening
确定 - quèdìng|to be sure
yǔyán zhōngxīn|language center
bǔxíbān|cram school
jiàokēshū|textbook
jiàocái|teaching material
xuéxí|to study
xiàkè|to get out of class / dismiss class
xiūxi|to rest
shìjuàn|exam paper
fùxí|to review
yùxí|to preview
liànxí|to practice
zhǔnbèi|to prepare
nán|difficult / hard
róngyì|easy
xiānsheng|sir / Mr.
chá|to check / to look up
zū|to rent / rent
zīliào|information
fángzi|house
tàofáng|en-suite / studio apartment
jiāotōng|traffic / transportation
shuǐdiàn|utilities
zhù|to live
dàgài|about / roughly / probably
zhōngjiè|agent / broker
gānjing|to clean / clean
bàn|half
qiānyuē|to sign a contract
zūjīn|rent
yājīn|deposit
zhǎodào|to find
fángzū|rent
yùsuàn|budget
Xiǎojiě|Miss / Ms.
wòshì|bedroom
chúfáng|kitchen
cèsuǒ|bathroom
kètīng|living room
yángtái|balcony
chuānghu|window
lājī|trash / garbage
diànrèqì|heater
wǎsī|gas
tiānránqì|natural gas
xǐyījī|washing machine
shuǐlóngtóu|water faucet
mǎtǒng|toilet
shāfā|sofa
shūguì|book case
yīguì|closet / wardrobe
fángdōng|landlord
línju|neighbor
wǎngluò|Internet