A cheese sandwich|Un sandwich au fromage
A different coffee|Un autre café
A glass of lemonade|Un verre de limonade
A ham and cheese sandwich|Un sandwich au jambon et au fromage
A ham sandwich|Un sandwich au jambon
A lemonade|Une limonade
Another glass of red wine, please|Encore un verre de vin rouge, s'il vous plaît
Can one eat here?|On peut manger ici?
Cheers!|Santé!
Croque madame|A toasted cheese-and-ham sandwich on square bread, with an egg on top
Croque monsieur|A toasted cheese-and-ham sandwich on square bread
To drink|Boire
Some french fries (chips)|Des frites
I'm hungry|J'ai faim
I like eating|J'aime manger
I'll take a glass of lemonade|Je prends un verre de limonade
I'm thirsty|J'ai soif
I would like another coffee|Je voudrais encore un café
Ok, very good|D'accord, très bien
Please? (to get the waiter's attention)|S'il vous plaît
Near here|Près d'ici
A sandwich|Un sandwich
The bill, please|L'addition, s'il vous plaît.
The boy|Le garçon
A bag|un sac or un sachet
Can I get a receipt?|Est-ce que je peux avoir le reçu?
Can I get a bag?|Est-ce que je peux avoir en sac?
Can I help you? (I can help you?)|Je peux vous aider?
Can I pay with a credit card?|Est-ce que je peux payer avec une carte de crédit?
Can I see your id please?|Est-ce que je peux voir votre carte d'identité, s'il vous plaît?
Can I try it on?|Est-ce que je peux l'essayer?
Cash|L'espèces
Clothing|vêtements
Do you want a bag?|Voulez-vous un sac?
Here's my id|Voici ma carte d'identité
Here's my passport|Voici mon passeport
I like to shop|J'aime faire du shopping
I'll take it|Je le prends
I pay cash|Je paie en espèces
That costs 30 euros|Ça coûte trente euros
It's too big|C'est trop grand
It's too small|C'est trop petite
That pleases me|ça me plaît
The receipt|Le reçu
To go shopping|Faire du shopping
To pay|Payer
To try|Essayer
To try it|L'essayer
Where can I buy...?|Où est-ce que je peux acheter
Where can I buy coffee?|Où est-ce que je peux acheter du café?
Where can I buy clothing?|Où est-ce que je peux acheter des vêtements?
Where can one buy...? (one)|Où est-ce que on peut acheter...?
To do window shopping|Faire du lèche-vitrine
A ticket|un billet
A coin|Une pièce
How much do you want to change?|Combien voulez-vous changer?
I must change some money|Je dois changer de l'argent
I must go to the market|Je dois aller au marché
I owe you money (informal)|Je te dois de l'argent
I must sign where?|Je dois signer où?
Is there an ATM near here?|Est-qu'il y un distributeur de billets près d'ici?
I want to change some money|Je veux changer de l'argent
I would like to sing a song|Je voudrais chanter une chanson
I would like to change 100 dollars into euros|Je voudrais changer cent dollars en euros
I would like to change some money|Je voudrais changer de l'argent
I would like to change these travellers checks|Je voudrais changer ces chèques de voyage
I would like to withdraw 100 euros|Je voudrais retirer de cent euros
To swallow|Avaler
To change, switch, alter, shift, vary, turn|changer
To sign, subscribe, endorse, autograph|signer
Train ticket|billet de train
Travellers cheques|Les chèques de voyage
Vending machine|distributeur
What do you want? (informal)|Qu'est-ce tu veux
Must I sign? (inversion)|Dois-je signer?
Where is it that I must sign?|Où est-ce que je dois signer?
To withdraw, pull, revoke, take off, take back|retirer
A slice|Une tranche
A bit of food, a morsel|Un morceau
A little bit less|Un peu moins
A bit more|Un peu plus
So, something more?|Alors, encore quelque chose?
Can I taste it?|Je peux y goûter?
How much do you want?|Combien vous en voulez?
I'd like a little of that|Je voudrais un peu de ça
i'd like a morsel of that, please|Je voudrais un morceau de ça
I'd like 300 grams of cheese|Je voudrais trois cents grammes de fromage
Is that all?|C'est tout?
I would like a little ham|Je voudrais un peu de jambon
I would like to buy some apples|Je voudrais acheter des pommes
That's all, thanks|C'est tout, merci
I have red apples and some green apples|J'ai des pommes rouges et des pommes vertes
What cheese do you want?|Quel fromage voulez-vous?
What is that?|Qu'est-ce que c'est?
What on earth is that?! |Qu'est-ce que c'est que ça?!
Will that be all? (that was all?)|Ce sera tout?
Would you like a taste?|Voulez-vous goûter?
14 euros 40 please|quatorze euros quarante
A big bed|Un grand lit
A double room (for a couple) - literally, a room for two with one bed|Une chambre pour deux personne à un lit
A double room with twin beds (literally, a room for two with two beds)|Une chambre pour deux personnes à deux lits
Do you have...? (informal)|Est-ce que tu as...?
Do you have a brother? (informal)|Est-ce que tu as un frère?
Do you have a brother? (inversion, informal)|As-tu un frère?
Do you have a credit card? (inversion, formal)|Avez-vous une carte de crédit?
Do you have a reservation?|Est-ce que vous avez une réservation?
For how many nights?|Pour combien de nuits?
For one night|Pour une nuit.
He has|Il a
He has a reservation|Il a une réservation
How much is it per night?|C'est combien par nuit?
I don't have a brother|Je n'ai pas de frère
I don't have a reservation|Je n'ai pas de réservation
I have a reservation|J'ai une réservation
A reservation|Une réservation
We don't have a reservation|Nous n'avons pas de réservation
We have a reservation|Nous avons une réservation
They have (females)|Elles ont
What's your name? (formal)| Comment vous appelez-vous?
They have (masc)|Ils ont
A single room|Une chambre pour une personne
She has|Elle a
My surname is Smith|Mon nom est Smith
Is breakfast included?|Est-ce que le petit déjeuner compris?
And what's more...! (when complaining)|Et en plus...!
To function, to work|fonctionner
The heater|Le chauffage
I have a problem|J'ai un problème
I left|J'ai laissé
I left my key in my room|J'ai laissé ma clef dans ma chambre
It's cold in the room|Il fait froid dans la chambre
It's hot (when referring to weather or surroundings)|Il fait chaud
Mineral water|Eau minérale
My key|Ma clef
The AC doesn't work|La climatisation ne fonctionne pas
The heater doesn't work|Le chauffage ne fonctionne pas
The heater works|Le chauffage fonctionne
There are no towels|Il n'y a pas de serviettes
There is a hospital in the town|Il y a un hôpital dans la ville
There is no electricity in the room|Il n'y a pas d'électricité dans la chambre
There is no toilet paper |Il n'y a pas de papier hygiénique
There is no hot water|Il n'y a pas d'eau chaude
The room is extremely small|La chambre est extrêmement petite
The room is quite small|La chambre est assez petite
The room is too big|La chambre est trop grande
It's too cold in the room|Il fait trop froid dans la chambre
It's too hot in the room|Il fait trop chaud dans la chambre
The room is too small|La chambre est trop petite
The shower doesn't work|La douche ne fonctionne pas
The TV doesn't work|La télévision ne fonctionne pas
Tough luck!|Tant pis!
Some towels|des serviettes
Is that true?|C'est vrai?
It's not nice weather|Il fait mauvais
It's cold (weather)|Il fait froid
It's raining|Il pleut
It's raining today|Il pleut aujourd'hui
It's snowing|Il neige
It will be bad (weather)|Il fera mauvais
It's windy|Il fait du vent
It will be nice (weather)|Il fera beau
It will rain|Il pleuvra
It will be windy|Il fera du vent
It will snow|Il neigera
Possibly|possiblement
The weather is bad|Il fait mauvais temps
Today, it isn't raining|Aujourd'hui, il ne pleut pas
Tomorrow, it will rain|Demain, il pleuvra
Tomorrow, it will be cold|Demain, il fera froid
Tomorrow, it wil be hot|Demain, il fera chaud
Tomorrow, it will be nice (weather)|Demain, il fera beau
The weather|Le temps
What's the weather like?|Quel temps fait-il?
What's the weather like today?|Quel temps fait-il aujourd'hai?
What will the weather be like? |Quel temps fera-t-il?
What will the weather be like tomorrow?|Quel temps fera-t-il demain?
And you? (informal)|Et toi?
I am also from Glasgow|e viens aussi de Glasgow
London|Londres
Where are you from (informal)|D'où viens tu?
Are you ready? (informal)|Est-ce que tu es prêt?
But now I live in Strasbourg|Mais maintenant j'habite à Strasbourg
I come from Glasgow|Je viens de Glasgow
I come from London|Je viens de Londres
I come from Glasgow but live in London|Je viens de Glasgow mais j'habite à Londres
I don't come from London|Je ne viens pas de Londres
I live in Glasgow|J'habite à Glasgow
I'm ready to learn French|Je suis prêt pour à apprendre le français
Where do you live? (informal)|Où habites-tu?
Where do you live? (formal)|Où habitez-vous?
I don't work during summer|Je ne travaille pas pendant l'été
And, in the middle (of doing something)|Et, en train de faire quelque chose
I only see your eyes|Je ne vois que tes yeux
It often rains |Il pleut souvent
It is very hot lately|Il fait très chaud ces derniers temps
But unfortunately, the summer is very short|Mais malheureusement, l'été est très court
We walked along the beach|Nous avons marché le long de la plage
Your brilliant eyes are like the sun|Tes yeux brillants sont comme le soleil
Summer is disappearing and winter approaches| L'été est en train de disparaître et l'hiver approche.
I wait already|J'attends déjà
I want to live in a big house with a view of the beach|Je voudrais habiter dans une grande maison qui donne sur la plage
The sun shines full of fire, but I only see your eyes|Le soleil brille a plein feu, mais je ne vois que tes yeux
I'm in the middle of recording a podcast|Je suis en train dans enregistre un podcast
It's pouring (literally, raining cords)|Il pleut des cordes
I never swim at the beach|Je ne nage jamais a la plage
Because the water is too cold|Parce que l'eau est trop froide
During the summer it often rains |Pendant l'été, il pleut souvent
Winter holidays|Les vacances l'hiver
To approach something|S'approcher quelque chose
Do you already have a map of the town?|Avez-vous déjà un plan de la ville
Do you also have one in French|Vous en avez une aussi en français?
Good day and good stay in Saint-Marie|Bonnes journée et bon séjour à Saint-Marie
Hello, can I help you?|Bonjour, je peux vous aider?
How much is the entrance fee?|ça coûte combien, l'entrée?
I am going to show you the things to do in Saint-Marie|Je vais vous montrer ce que en peut faire à Saint-Marie
In fact, it's free|En fait, c'est gratuit.
Information|renseignements
It's free|C'est gratuit
A map|Un plan
Here's a map|Voila un plan
The castle|Le château
It is very well known|C'est très connu
Today, it's Tuesday|Aujourd'hui, on est mardi
to show|montrer
We can do lots of strolling (using one for we) |On peut faire beaucoup de promenade
So, I think that it is open|Donc, je pense que c'est ouvrir
Some information|Quelque renseignements
I'm not feeling well|Je ne me sens pas bien
The head|la tête
The castle, it is open today?|Le château, il est ouvert aujourd'hui?
It's my leg|C'est ma jambe
It's my throat|C'est ma gorge
The leg|La jambe
My back|Mon dos
It's my hand|C'est ma main
It's my foot|C'est mon pied
It's my back|C'est mon dos
It's in English|C'est en anglais
A little brochure|Une petite brochure
A little gift|Un petit cadeau
The back|Le dos
To feel|Sentir
The foot|Le pied
I am ill|Je suis malade
I feel well|Je me sens bien
I have a headache|J'ai mal à la tête
Some activities for July and August...|Des animations pour juillet et août ...
I have sore feet|J'ai mal aux pieds
Ill, sick, sore|Malade
One hand|Une main
The throat|La gorge
The main square is just next door|La grande place est juste à côté
There are lots of things to do|Il y a beaucoup de choses à faire
There's also a little tourist train that passes by the church which goes to Pournique|Il ya aussi un petit train touristique qui passe par l'église qui va à Pournique
There's musical entertainment from nine o'clock to midnight|Il ya des animations musicales, de neuf heure à minuit
Pedestrian, walker|Piéton
What is your problem?|Quel est votre problème?
You don't have to pay|Ils ne font pas payer
What can one do at night?|Qu'est-que on peut faire le soir?
My head|ma tête
My hand|Ma main
My foot|Mon pied
I have a stomach ache|J'ai mal à l'estomac
My throat hurts|J'ai mal à la gorge
Shoulder |épaule
In Pournique there is plenty to do (it is full of things to do)|En Pournique il ya plein de choses à faire
